SKU,Desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215851,"Держатель насадки: 22 мм
Диаметр кольца: н/д
Длина стойки: 995 мм
Макс. диаметр сверления с водосборником: 250 мм
Макс. диаметр сверления без водосборника: 300 мм
Наклон: 45 °



















",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215852,"Описание: Водосборник
Для применения с: D215851























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215853,"Описание: Сальник водосборника (3 шт.)
Для применения с: D215852























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215854,"Для применения с: D21583K / D21585
Описание: 5 медных колец для 1 1/4"" коронок























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215859,"Описание: Вакуумный комплект (сальник и вентиль)
Для применения с: D215831























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21716,"Патрон: н/д
Потребляемая мощность: 701 Вт
Выходная мощность: 360 Вт
Макс. крутящий момент: 12 Нм
Частота холостого хода: 0-2600 об/мин
Кол-во ударов в минуту: 0-44200 уд/мин
Макс. диаметр сверления (Дерево): 30 мм
Макс. диаметр сверления (Металл): 13 мм
Макс. диаметр сверления (Бетон): 16 мм
Резьба шпинделя: 1/2 x 20 U.N.F
Держатель насадки: н/д
Вес: 280 кг
Высота: 185 мм
Уровень вибрации (сверление в металле): н/д
Погрешность вибрации: н/д
Погрешность вибрации: н/д
Уровень вибрации при ударе: н/д
Погрешность вибрации: н/д
Погрешность вибрации: н/д
Звуковое давление: 95 дБ(А)
Погрешность уровня шума: н/д
Акустическая мощность: 106 дБ(А)
Погрешность мощности создаваемого шума: н/д


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21717K,"Патрон: н/д
Потребляемая мощность: 701 Вт
Выходная мощность: 360 Вт
Макс. крутящий момент: 12 Нм
Частота холостого хода: 0-2600 об/мин
Кол-во ударов в минуту: 0-44200 уд/мин
Макс. диаметр сверления (Дерево): 30 мм
Макс. диаметр сверления (Металл): 13 мм
Макс. диаметр сверления (Бетон): 16 мм
Резьба шпинделя: 1/2 x 20 U.N.F
Держатель насадки: н/д
Вес: 280 кг
Высота: 185 мм
Уровень вибрации (сверление в металле): н/д
Погрешность вибрации: н/д
Уровень вибрации при ударе: н/д
Погрешность вибрации: н/д
Звуковое давление: 95 дБ(А)
Погрешность уровня шума: н/д
Акустическая мощность: 106 дБ(А)
Погрешность мощности создаваемого шума: н/д




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21720,"Патрон: н/д
Потребляемая мощность: 650 Вт
Выходная мощность: 325 Вт
Макс. крутящий момент: н/д
Частота холостого хода: 0-1100 / 0-2600 об/мин
Кол-во ударов в минуту: 0-19000 / 0-44200 уд/мин
Макс. диаметр сверления (Дерево): 40/25 мм
Макс. диаметр сверления (Металл): 13 мм
Макс. диаметр сверления (Бетон): 16 мм
Резьба шпинделя: 1/2"" x20 U.N.F.
Держатель насадки: н/д
Вес: 330 кг
Высота: 199 мм
Уровень вибрации (сверление в металле): н/д
Погрешность вибрации: н/д
Уровень вибрации при ударе: н/д
Погрешность вибрации: н/д
Звуковое давление: 95 дБ(А)
Погрешность уровня шума: 3 dB(A)
Акустическая мощность: 106 дБ(А)
Погрешность мощности создаваемого шума: 3 dB(A)




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21721K,"Патрон: н/д
Потребляемая мощность: 650 Вт
Выходная мощность: 325 Вт
Макс. крутящий момент: н/д
Частота холостого хода: 0-1100 / 0-2600 об/мин
Кол-во ударов в минуту: 0-19000 / 0-44200 уд/мин
Макс. диаметр сверления (Дерево): 40/25 мм
Макс. диаметр сверления (Металл): 13 мм
Макс. диаметр сверления (Бетон): 16 мм
Резьба шпинделя: н/д
Держатель насадки: н/д
Вес: 330 кг
Высота: 199 мм
Уровень вибрации (сверление в металле): н/д
Погрешность вибрации: н/д
Уровень вибрации при ударе: н/д
Погрешность вибрации: н/д
Звуковое давление: 95 дБ(А)
Погрешность уровня шума: 3 dB(A)
Акустическая мощность: 106 дБ(А)
Погрешность мощности создаваемого шума: 3 dB(A)




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21805,"Патрон: н/д
Потребляемая мощность: 770 Вт
Выходная мощность: 425 Вт
Макс. крутящий момент: 40/20 Нм
Частота холостого хода: 0-1100 / 0-2700 об/мин
Кол-во ударов в минуту: 0-18700 / 0-45900 уд/мин
Макс. диаметр сверления (Дерево): 35 мм
Макс. диаметр сверления (Металл): 13 мм
Макс. диаметр сверления (Бетон): 20 мм
Резьба шпинделя: 1/2"" X 20 U.N.F
Держатель насадки: н/д
Вес: 352 кг
Высота: 199 мм
Уровень вибрации (сверление в металле): н/д
Погрешность вибрации: н/д
Уровень вибрации при ударе: н/д
Погрешность вибрации: 2.0 м/с2
Звуковое давление: 102.8 дБ(А)
Погрешность уровня шума: н/д
Акустическая мощность: 113.8 дБ(А)
Погрешность мощности создаваемого шума: н/д




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
