Артикул,Описание
WM825-XJ,"Верстак, рабочая высота 77.5/59.5 см, вертикальный зажим"
ASI200-XJ,"Автомобильный компрессор 12 В, 120 Psi, 8.3 Bar, фонарь, цифровой дисплей, аксессуары"
ASI300-QS,"Автомобильный компрессор 14 Атм, 200psi, питание от 12 В и 220 В"
ASI500-QW,"Автомобильный компрессор, 3.5 А·ч, 12 В - 220 В, 120 Psi, 8.3 Bar, фонарь, цифровой дисплей, аксессуары"
NV1210AV-XK,"Автомобильный пылесос 12 В, 1122 л/мин, 385 мм/в.столба, емкость пылесборника 370 мл, набор аксессуаров"
ADV1200-XK,"Автомобильный пылесос Dustbuster, 1053 л/мин, 275 мм/в.столба, емкость пылесборника 610 мл, набор аксессуаров"
PV1200AV-XK,"Автомобильный пылесос Pivot, 1060 л/мин, 360 мм/в.столба, емкость пылесборника 440 мл, набор аксессуаров"
PD1200AV-XK,"Автомобильный пылесос Flexi, 1060 л/мин, 400 мм/в.столба, емкость пылесборника 560 мл, набор аксессуаров"
FSM1605R-QS,"Пароочиститель, 1300 Вт, емкость 350 мм, время разогрева 20 с, защита от накипи, выбор поврехности пола, 180 градусов наклон и поворот"
FSM1605-QS,"Пароочиститель, 1300 Вт, емкость 350 мм, время разогрева 20 с, защита от накипи, выбор поврехности пола, 180 градусов наклон и поворот"
FSM1616-QS,"Паровая щетка с системой  AutoSelect, 1600 Вт, угловая насадка"
FSM1620-QS,"Паровая щетка с системой  AutoSelect, 1600 Вт"
FSM1630-QS,"Паровая щетка с системой  AutoSelect, 1600 Вт, цифровым управлением и системой SteamBoost"
FSMH1300FX-QS,"Паровая щетка Deluxe с цифровым управлением 2-в-1, системой SteamBoost и съемным ручным парогенератором 1300 Вт"
FSMH1321-QS,"Паровая щетка Deluxe с цифровым управлением 2-в-1, системой SteamBoost и съемным ручным парогенератором 1300 Вт"
FSMH13101SM-QS,"Паровая щетка Deluxe с цифровым управлением 2-в-1, системой SteamBoost и съемным ручным парогенератором"
FSH10SM-QS,"Пароочиститель ручной SteamMop&SteaMitt 1 300 Вт, система SteamBoost"
FSH10SM1-QS,"Пароочиститель ручной SteamMop&SteaMitt 1 300 Вт, система SteamBoost, доп.насадки 3 шт"
FSH10SMP-QS,"Пароочиститель ручной SteamMop&SteaMitt 1 300 Вт, система SteamBoost, доп.насадки 5 шт"
FSMP30-XJ,"Принадлежности для паровых щеток, 2 дельтавидные накладки"
FSMP30D-XJ,"Принадлежности для паровых щеток Delux, 2 дельтавидные, 2 стандартные накладки"
FSMHBA-XJ,"Набор для чистки ванной, 3 мягкие щетки, щетка для стекол, щетка для плитки"
FSMHKA-XJ,"Набор для чистки кухни, 3 мягкие щетки, большая жеская щетка, большая мягкая щетка"
FSMH21A-XJ,"Большой набор для чистки:  3 мягких щетки, щетка для сеткол,щетка для плитки, проволочная щетка"
FSMFH3LF-XJ,"Сменная чистящая насадка с возможностью установки картриджей ароматизатора, 3 сменных картриджа с ароматом лимона"
WD7210N-QW,"Аккумуляторный пылесос для влажной и сухой уборки, 7.2 В NI-MH"
