sku,st_tip_patrona,st_sverlilniy_patron,st_vstroenniy_pricel,st_raspolozhenie_dvigatelya,st_regulirovka_stola,st_rabota_po_betonu,st_dlina_shini,st_dlina_lezviya,st_elektronnaya_reg_oborotov,zaschita_ot_peregreva,st_vrashen_strog_vala,st_vozmojnost_reza_pod_uglom,st_stancionarnoe_kreplenie,st_plavniy_pusk,st_maxdiam_koron_sverla,st_360_gradusov,st_rabocheye_davleniye,st_rezba_spindelya,st_rashod_vozduha,st_razreshenie_pix,st_dvigatel,st_max_glubina_reza,st_glubina_rezaniya_mm,st_podkluchenie,st_maxskorost_vozduha_kub,st_napravlayushaya_shina,st_predohran_mufta,st_vozmojnost_sbora_zhidkosti,st_podderzhan_post_oborotov,st_ploshad,st_zashita_ot_udara,st_diametr_mm,st_akb_v_komplekte,st_kilichestvo_acum_komplect,st_regulir_glubini_stroganiya,st_maxvrash_moment_myagk,st_diametr_obyektiva,st_sistema_podachi_soj,st_maxrazmer_krepezha,st_maxglubina_propila_45,st_dlina_shini_duym,st_maxtolshina_zagotovki,st_nalichie_udara,st_razmer_cangi,st_maxsila_udara,st_nalichie_reversa,st_dlina_shini_duym,st_maxglubina_propila_90,st_graudirovka_limba,st_gorizontalnoe_peremeshenie,st_maxshirina_lenti,st_napryazheniye_akkumulyatora,st_napryazhenie_v_accum,st_emkost_accumulatora,st_napryazheniye_v,st_vremya_zaryada,st_regulirovka_visoti,st_kreplenie_poloten,st_rabocaya_temperatura,st_nalichie_lazera,st_tip_stanini,st_kolichestvo_tochek_otscheta,st_avtosmativanie_kabela,st_vstroen_patrub_pilesos,st_tip_posadki,st_posad_diametr,st_kolichestvo_nasadok,st_ugol_samoviravnivaniya,st_chislo_hodov_holostoy_hod,st_vremya_raboti_odin_zaryad,st_obyem_syemnogo_backa,st_vibrozashita,st_obyem_baka,st_skorost_rezaniya,st_tip_diska,st_diametr_vsas_shlanga,st_proverka,st_max_chastota_udarov,st_maxglubina_chetverti,st_visota_skashivaniya,st_kilichestvo_acum_komplect,st_chastota_vrashch_shpind,st_dlina_kabelya,st_maxdiam_sverleniya_beton,st_sistema_valikov,st_regulirovka_glubin_reza,st_blokirovka_shpindelya,st_diametr_aspirac_otver,st_tip_pilesbornika,st_glubina_stroganiya,st_diametr_aspirac_otver_mm,st_regulirovka_moshnosti,st_min_izmer_uchastok,st_podkluchenie_pilesosa,st_skorost_dvizheniya_min,st_razmer_rab_stola,st_sposob_raspileniya,st_kolichestvo_luchey,st_viborka_chetverti,st_elektr_regul_chast_vrashen,st_maxglubina_stroganiya,st_nalichie_reversa,st_forma_ruchki,st_rabochaya_temperatura,st_regulirovka_temperaturi,st_maxdiam_sverleniya_kirpich,st_rabota_so_smartfonom,st_klass_lazera,st_tip_nozha,st_dlina_reza,st_cvet,st_blok_spindelya,st_rabochiy_hod_frezi,st_dlina_zonda,st_podsvetka,st_naklon_pili,st_tip_reza,st_velichina_hoda,st_maxshirina_obrabotki,st_vibroruchka,st_vremya_nagreva,st_uvelichenie,st_maxshirina_propila_90,st_tormoz_dvigatelya,st_nalichie_semnogo_backa,st_ugol_povorota_tiskov,st_maxdiam_sverleniya_derevo,st_shirina_skashivaniya,st_srednekvadrat_pogreshnost,st_rezhushiy_element,st_klass_pili,st_shag_cepi,st_maxshirina_reza,st_tip_ruchki,st_beskluch_regulerovka_cepi,st_pogreshnost_mm,st_vizir,st_tip,st_maxvrash_moment_zhestk,st_raspil_truba_mm,zaschita_ot_peregreva,st_dalnost_bez_priemnika,st_mayatnikoviy_hod,st_razmer_nozhey,st_ranceviy,st_samohodnaya,st_shirina_obrabotki_sm,st_indikaciya_zapolneniya,st_ustroystvo_accumulyatora,st_tip_accumulatora,st_zashita_ot_neprednamer_pusk,st_razmer_hoda_platform,st_reguliruemaya_shtanga,st_vodyanoe_ohlajdenie_tip,st_maxglubina_sverleniya,st_mulchirovanie,st_glubina_obrabotki,st_maxdavlenie_atm,st_ugol_naklona,st_rozetka_dla_instrumenta,st_funkciya_viduvaniya,st_emkost_accumulatora,st_zk_display,st_razborniy_val,st_dlina_volny,st_maz_diam_frezi,st_dlina_lenti,st_vozmozhnost_podkl_pilesos,st_vnesen_v_reestr,st_bluetooth,st_princip_raboti,st_obyem_travosbornika,st_material_obrabotki,st_maxobyem_vozduha_kub,st_bachek_dla_soj,st_diam_patrona,st_tip_dvigatelya,st_rabochiy_hod,st_kreplenie_hvost_osnastki,st_shirina_paza,st_vertikalniy_hod_karetki,st_otkluchen_viravnitelya,st_dalnost_izmereniya,st_kolichestvo_nagrev_elem,st_izmeryaemaya_temperatura,st_shirina_obrabotki,st_istochnik_sveta,st_potreb_moshnost,st_tip_viravnivaniya,st_chastota_kolebaniy,st_uroven_shuma,st_hod_spindilya,st_max_krutyashchiy_moment,st_razmer_magnita,st_sistema_ochistki,st_shtativ,st_obem_zalivaemoy_vodi,st_rezba_pod_shtativ,st_prizhimnaya_sila,st_dalnost_izmeren_priemnika,st_superflanec,st_diametr_diska,st_privodnoy_val,st_napravlenie_luchey,st_obyem_maslennogo_baka,st_chislo_stupen_krutmoment,st_adapter_pileudaleniya,st_peredacha_na_pc,st_chislo_oborotov,st_bistrozajim_sds,st_musorosbornik,st_beskluch_zamena_osnast,st_manometr,st_diametr_vsas_shlanga_m,st_tochnost_mmm,st_tip_podachi,st_kolichestvo_frez,st_cvet_lucha,st_glubina_raspil_derevo_mm,st_visota_skashivaniya_max,st_kolichestvo_rezhim_regulir,st_pitaniye,st_temperatura_hraneniya,st_shirina_rezaniya_mm,st_diametr_kameri,st_glubina_raspila_metal,st_maxshirina_propila_45,st_chislo_skorostey,st_skorost_vrasheniya_cepi
KW712-XK,,,,,,,,,нет,,,,нет,нет,,,,,,,,,,,,,,,нет,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,3,,,,,,,2,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,650,,,,,,,,,,,,,,,,,,,,,17000,,,,,,,,,,,,,,,,,,,,
KW712KA-QS,,,,,,,,,нет,,,,нет,нет,,,,,,,,,,,,,,,нет,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,3,,,,,,,2,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,650,,,,,,,,,,,,,,,,,,,,,17000,,,,,,,,,,,,,,,,,,,,
KX1650-XK,,,,,,,,,,,,,,,,,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,50-600,плавная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,1,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KX2001-QS,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,50-600,плавная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KX1692-QS,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50-560,ступенчатая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KX2200K-QS,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,65-645,плавная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW1200EKA-QS,,,,,,,,,есть,,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,6-6.35-8,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,нет,,28000,,,,,,,,6,,,,,,,,,,,,
KW900E-XK,,,,,,,,,есть,,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,нет,,28000,,,,,,,,нет,,,,,,,,,,,,
KW1600EKA-QS,,,,,,,,,есть,,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,6-6.35-8,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,есть,,28000,,,,,,,,6,,,,,,,,,,,,
KW900EKA-QS,,,,,,,,,есть,,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,6.35-8,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,нет,,28000,,,,,,,,6,,,,,,,,,,,,
KW1200E-QS,,,,,,,,,есть,,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,6-6.35-8,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,нет,,28000,,,,,,,,нет,,,,,,,,,,,,
KA330E-QS,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA300-XK,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,135,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA310-QS,,,,,,,,,нет,,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,240,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA88-QS,,,,,,,,,нет,нет,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,есть,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA86-QS,,,,,,,,,нет,нет,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,есть,,,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA280K-QS,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,,,,,,,,,125,,,,,,,15000,,,,,,,,,,,,,,,,,,,,
G720P-RU,,,,,,есть,,,нет,нет,,,,нет,,,,М14,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,,,нет,115,,,,,,,10000,нет,,,,,,,,,,,,,,,,,,,
KG902-QS,,,,,,есть,,,нет,нет,,,,нет,,,,М14,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,нет,125,,,,,,,11000,нет,,,,,,,,,,,,,,,,,,,
KG902K-QS,,,,,,есть,,,нет,нет,,,,нет,,,,М14,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,нет,125,,,,,,,11000,нет,,,,,,,,,,,,,,,,,,,
KG1200K-QS,,,,,,есть,,,нет,нет,,,,нет,,,,М14,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,нет,125,,,,,,,10000,нет,,,,,,,,,,,,,,,,,,,
G850-RU,,,,,,есть,,,нет,нет,,,,нет,,,,М14,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43222,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,нет,125,,,,,,,12000,нет,,,,,,,,,,,,,,,,,,,
KG1200-XK,,,,,,есть,,,нет,нет,,,,нет,,,,М14,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,нет,125,,,,,,,10000,нет,,,,,,,,,,,,,,,,,,,
KG1202K-QS,,,,,,есть,,,нет,,,,,есть,,,,М14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,нет,125,,,,,,,11000,нет,,,,,,,,,,,,,,,,,,,
G650-RU,,,,,,есть,,,нет,,,,,нет,,,,М14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,нет,115,,,,,,,11000,нет,,,,,,,,,,,,,,,,,,,
KG912-QS,,,,,,есть,,,нет,,,,,есть,,,,М14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,нет,115,,,,,,,12000,нет,,,,,,,,,,,,,,,,,,,
KG8215-RU,,,,,,есть,,,нет,,,,,нет,,,,М14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,,,нет,115,,,,,,,12000,нет,,,,,,,,,,,,,,,,,,,
KG901-QS,,,,,,есть,,,нет,нет,,,,нет,,,,М14,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,нет,115,,,,,,,11000,нет,,,,,,,,,,,,,,,,,,,
KG1202-XK,,,,,,есть,,,нет,,,,,есть,,,,М14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,нет,125,,,,,,,11000,нет,,,,,,,,,,,,,,,,,,,
KA198-QS,,,,,,,,,нет,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,260,,26000,,,,,,,,,,,,125,,,,,,,13000,,,,,,,,,,,,,,,,,,,,
EPC14CABK-XK,быстрозажимной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,нет,,,нет,,,,,,,,,,,,25,,,,,,,,,,,,12,,,,,,,,,,,NiCd,,,,,,,,,,,,,,,,,,,,,,,,,,10,щеточный,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,12,,,,,,,,,,нет,,,,,,,,,,,,1,
BDCDD12K1B-QW,быстрозажимной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,есть,,,,,,,,,,,,25,,,,,,,,,,,,26,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,10,щеточный,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,10+1,,,,,,,,,,нет,,,,,,,,,,,,1,
BDCDC18K-QW,быстрозажимной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,нет,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,есть,,,,,,,,,,,,25,,,,,,,,,,,,30,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,10,щеточный,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,10+1,,,,,,,,,,нет,,,,,,,,,,,,1,
EPC18CAK-QW,быстрозажимной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,нет,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,нет,,,нет,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,NiCd,,,,,,,,,,,,,,,,,,,,,,,,,,10,щеточный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,1,
EPC14CA-XK,быстрозажимной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,нет,,,нет,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,NiCd,,,,,,,,,,,,,,,,,,,,,,,,,,10,щеточный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24+1,,,,,,,,,,нет,,,,,,,,,,,,1,
EPC18CABK-XK,быстрозажимной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,нет,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,нет,,,нет,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,NiCd,,,,,,,,,,,,,,,,,,,,,,,,,,10,щеточный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,1,
BDCDD186K1B-QW,быстрозажимной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,нет,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,есть,,,,,,,,,,,,25,,,,,,,,,,,,40,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,10,щеточный,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,10+1,,,,,,,,,,нет,,,,,,,,,,,,2,
ASD14KB-QW,быстрозажимной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,16,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,28,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,10,щеточный,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,1,
ASD14K-QW,быстрозажимной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,16,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,28,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,10,щеточный,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,1,
ASD18K-QW,быстрозажимной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,16,,,,,,,нет,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,28,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,10,щеточный,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,1,
BDCDC18K1B-QW,быстрозажимной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,нет,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,есть,,,,,,,,,,,,25,,,,,,,,,,,,30,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,10,щеточный,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,10+1,,,,,,,,,,нет,,,,,,,,,,,,1,
BDCDD186KB-QW,быстрозажимной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,нет,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,есть,,,,,,,,,,,,25,,,,,,,,,,,,40,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,10,щеточный,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,10+1,,,,,,,,,,нет,,,,,,,,,,,,2,
