,Описание
DE3242-XJ,"Циркуль для вырезания кругов для лобзиков: DW331, DW333, DW341, DW343"
D240001-XJ,Подставка для пилы по камню и плитке D24000
DW310K-QS,"Сабельная пила, 1200 Вт, 0-2600 ход/мин, ход 28 мм, кофр, 4.0 кг"
DW311K-QS,"Сабельная пила, 1200 Вт, 0-2600 ход/мин, ход 28 мм, прорезиненная рукоятка, кофр, 4.0 кг"
DWS774-QS,"Торцовочная пила 1400 Вт, 4500 об/мин, диск 216х30 мм, наклон 48°, угол поворота право/лево 48°/48°, макс. глубина реза 70 мм, система позиционирования линии реза с помощью тени от диска XPS, 12 кг"
DE7023-XJ,"Универсальная подставка для DW701, 702, 703, 706, 707, 708, 712, 717, 718"
DE7025-XJ,Монтажный кронштейн для подставки DE7023
D271054-XJ,Набор для пылеудаления только для D27105
DE1000-XJ,Универсальный стол для торцовочных пил
DE3491-XJ,"Пара направляющих стержней 500 мм DW701, 707, 709, 711, 742, 743, 27105"
DE7024-XJ,Суппорт для DE7023
DE7027-XJ,Роликовый стол для DE7023
DE7028-XJ,Стойка удлинителя для DE7023
DE7029-XJ,Суппорт увеличенной ширины для DE7023
DE7031-XJ,Стойка удлинителя для DE7023
DE7053-QZ,"Пылесборник для DW702, 703, 706, 708, 017, 712"
DE7400-XJ,"Передвижная пильная станция для DW744, DW745"
DE7778-XJ,"Набор для пылеудаления 35 мм для DW700, 701, 707, 709"
DW677-QS,"Рубанок, 600 Вт, глубина строгания 0-1.5 мм, 15000 об/мин, нож 82 мм, 2.8 кг"
DE2650-XJ,"Мешок для сбора стружки 6 л. для рубанков D26500, D26501"
DE6784-XJ,"Мешок для сбора стружки для DW677, DW678, DW680"
DE6257-XJ,Цанга 12.7 мм для фрезера DW626
DE6258-XJ,Цанга 12.0 мм для фрезера DW626
DE6259-XJ,Цанга 10.0 мм для фрезера DW626
DE6260-XJ,Цанга 8.0 мм для фрезера DW626
DE6261-XJ,Цанга 6.35 мм для фрезера DW626
DE6262-XJ,Цанга 6.0 мм для фрезера DW626
DE6272-XJ,"Цанга 6.0 мм для фрезера DW625E, 624, 629"
DE6273-XJ,"Цанга 6.35 мм для фрезера DW625E, 624, 629"
DE6274-XJ,"Цанга 8.0 мм для фрезера DW625E, 624, 629"
DE6275-XJ,"Цанга 9.5 мм для фрезера DW625E, 624, 629"
DE6276-XJ,"Цанга 10.0 мм для фрезера DW625E, 624, 629"
DE6277-XJ,"Цанга 12.0 мм для фрезера DW625E, 624, 629"
DE6278-XJ,"Цанга 12.7 мм для фрезера DW625E, 624, 629"
DE6289-XJ,"Струбцины для направляющей шины, 2 шт. "
DE6301-XJ,"Держатель гильз для фрезера DW625E, 624, 629"
DE6905-XJ,"Циркуль для вырезания кругов для фрезеров: DW615, 621"
DE6913-XJ,"Универсальный упор с микрорегулировкой и пылеудалением для фрезеров: DW615, DW621"
DE6916-XJ,"Гильза, внешний Д=16 мм для фрезера DW620, 621, 626"
DE6917-XJ,"Гильза, внешний Д=17 мм для фрезера DW620, 621, 626"
DE6924-XJ,"Гильза, внешний Д=24 мм для фрезера DW620, 621, 626"
DE6927-XJ,"Гильза, внешний Д=27 мм для фрезера DW620, 621, 626"
DE6930-XJ,"Гильза, внешний Д=30 мм для фрезера DW620, 621, 626"
DE6940-XJ,"Гильза, внешний Д=40 мм для фрезера DW620, 621, 626"
DE6950-XJ,"Цанга 6.0 мм для фрезера DW609, 613, 614, 615, 620, 621"
DE6951-XJ,"Цанга 6.35 мм для фрезера DW609, 613, 614, 615, 620, 621"
DE6952-XJ,"Цанга 8.0 мм для фрезера DW609, 613, 614, 615, 620, 621"
DE6956-XJ,"Регулятор высоты для фрезера DW613, 614, 615, 620, 621"
DE6966-XJ,"Регулятор высоты для фрезера DW624, 625, 626, 629"
DE6991-XJ,"Гильза, внешний Д=27 мм для фрезера DW613, 614, 615"
DE6992-XJ,"Гильза, внешний Д=30 мм для фрезера DW613, 614, 615"
D26420-QS,"Вибрационная шлифмашина, 350 Вт, шлифлист 113х280 мм, 12000-22000  об./мин., 24000-44000 циклов в минуту, ход 2.5 мм, пылесборник, 2.8 кг"
DWP352VS-QS,"Ленточная шлифмашина, 1010 Вт, лента 75х533 мм, пылесборник, 5.5 кг"
DE2642-XJ,"Пылесборники бумажные для виброшлифмашин D26410, D26420, D26421, D26422, D26423"
DE2643-XJ,"Подошва средней жесткости с липучкой, диаметр 150 мм, для эксцентриковой шлифмашины D26410 "
DE2644-XJ,"Подошва мягкая с липучкой, диаметр 150 мм, для эксцентриковой шлифмашины D26410 "
DWV9350-XJ,Набор насадок и удлинителей для уборки пола
DWV9401-XJ,"Мешки бумажные для пылесосов DWV900, DWV901, DWV902, 5 шт"
DWV9150-XJ,"Угловой патрубок (адаптер) для шланга пылесоса, Ø35 мм"
D279001-XJ,"Мешки бумажные для пылесоса D27900, 5 шт"
D279006-XJ,Фильтр барабанный для пылесоса D27900
D279012-XJ,"Адаптер 2-х портовый с заглушкой для пылесоса D27901, D27902"
D279013-XJ,"Шланг 4м x 35мм для пылесоса D27901, D27902"
D279014-XJ,"Адаптер подключения инструментов для пылесосов D27900, D27901, D27902"
D279015-XJ,"Фильтр плоский для пылесосов D27901, D27902"
D279017-XJ,"Мешки бумажные для пылесосов D27901, D27902, 5 шт"
DCV5801H-XJ,Фильтр HEPA для пылесоса DCV582
DE3923-XJ,Адаптер для инструмента для пылесоса DW793
DE7902-XJ,"Мешки бумажные для пылесоса DW790, 5 шт"
DWV9315-XJ,"Шланг 4 м х 35 мм для пылесосов D27901, D27902"
DWV9316-XJ,"Шланг антистатичный, 4м х 35 мм для пылесосов D27901, D27902"
DWV9400-XJ,"Мешки пластиковые для пылесосов DWV900, DWV901, DWV902, 5 шт"
DWV9402-XJ,"Мешки тканевые для пылесосов DWV900, DWV901, DWV902, 5 шт"
DWV9340-XJ,"Фильтры M класса для пылесосов DWV900 / DWV901 / DWV902, 2 шт (ТИП 2 версия)"
DW738-QS,"Ленточная пила, 749 Вт, 2 скорости 330/800 м/мин, макс. высота заготовки 155 мм, макс. ширина  заготовки 310 мм, стол 380х380 мм, 23 кг"
DW739-QS,"Ленточная пила, 749 Вт, 2 плавная регулировка скорости 330-800 м/мин, макс. высота заготовки 155 мм, макс. ширина  заготовки 310 мм, стол 380х380 мм, 23 кг"
DW876-QS,"Ленточная пила, 1000 Вт, 2 скорости 330/800 м/мин, макс. высота заготовки 200 мм, макс. ширина  заготовки 310 мм, стол 500х500 мм, на ножках, 54 кг"
DWE74912-XJ,Подставка для DWE7491
DWE74911-XJ,Подставка для DWE7491 с транспортировочными роликами 
DE7450-XJ,Подставка для DW745
DE7333-XJ,"Сменные ножи для рейсмуса D27300, 2 шт"
DW083K-XJ,"Самовыравнивающийся трёхлучевой лазерный уровень, 4 батареи АА, кофр"
DW0851-XJ,"Самовыравнивающийся 5-лучевой лазерный уровень, линейная гориз.проекция, кофр"
DW085K-XJ,"Самовыравнивающийся 5-лучевой лазерный уровень, 4 батареи АА, кофр"
DW088CG-XJ,"Самовыравнивающийся ЗЕЛЕНЫЙ лазерный уровень для горизонтальных и вертикальных работ с перекрестием, 3 батареи АА, кофр"
DW096PK-XJ,26-кратный оптический нивелир
DCE0825D1G-QW,"Cамовыравнивающийся ЗЕЛЕНЫЙ лазерный уровень, горизонтальная и вертикальная линейные, 5 точечных проекций, 10.8 В"
DCE0825D1R-QW,"Cамовыравнивающийся КРАСНЫЙ лазерный уровень, горизонтальная и вертикальная линейные, 5 точечных проекций, 10.8 В"
DCE0825NR-XJ,"Cамовыравнивающийся КРАСНЫЙ лазерный уровень, горизонтальная и вертикальная линейные, 5 точечных проекций, 10.8 В, без аккумулятора и ЗУ"
DCE0825LR-XJ,"Cамовыравнивающийся ЗЕЛЕНЫЙ лазерный уровень, горизонтальная и вертикальная линейные, 5 точечных проекций, 10.8 В, с переходником под 4 батареи АА"
DCE0811NR-XJ,"Cамовыравнивающийся КРАСНЫЙ лазерный уровень, 360° горизонтальная и 360° вертикальная проекции, 10.8 В, без аккумулятора и ЗУ"
DCE088NR-XJ,"Cамовыравнивающийся КРАСНЫЙ лазерный уровень, перекрещивающиеся горизонтальная и вертикальная проекции, 10.8 В, без аккумулятора и ЗУ"
DCE089NR-XJ,"Cамовыравнивающийся КРАСНЫЙ лазерный уровень, 360° горизонтальная и 2 х 360° вертикальные проекции, 10.8 В, без аккумулятора и ЗУ"
DCE089LR-XJ,"Cамовыравнивающийся КРАСНЫЙ лазерный уровень, 360° горизонтальная и 2 х 360° вертикальные проекции, 10.8 В, без аккумулятора и ЗУ, с переходником под 4 батареи АА"
DCE074D1R-QW,"Cамовыравнивающийся ротационный КРАСНЫЙ лазерный уровень для вертикального и горизонтального применения, 18.0 В Li-Ion батарея 2.0 Ач, мишень-лучеуловитель, очки, лазерный детектор DE0772, зарядное устройство, кофр"
DCE074NR-XJ,"Cамовыравнивающийся ротационный КРАСНЫЙ лазерный уровень для вертикального и горизонтального применения, 18.0 В Li-Ion, без батареи т зарядногу устройства, мишень-лучеуловитель, очки, лазерный детектор DE0772, кофр"
DCE079D1R-QW,"Cамовыравнивающийся ротационный КРАСНЫЙ лазерный уровень для вертикального и горизонтального применения, 18.0 В Li-Ion батарея 2.0 Ач, мишень-лучеуловитель, очки, лазерный детектор DE0772, пульт ДУ, зарядное устройство, кофр"
DCE079NR-XJ,"Cамовыравнивающийся ротационный КРАСНЫЙ лазерный уровень для вертикального и горизонтального применения, 18.0 В Li-Ion, без батареи и зарядного устройства, мишень-лучеуловитель, очки, лазерный детектор DE0772, пульт ДУ, кофр"
DCE079D1G-QW,"Cамовыравнивающийся ротационный ЗЕЛЕНЫЙ лазерный уровень для вертикального и горизонтального применения, 18.0 В Li-Ion батарея 2.0 Ач, мишень-лучеуловитель, очки, лазерный детектор DE0772, пульт ДУ, зарядное устройство, кофр"
DCE079NG-XJ,"Cамовыравнивающийся ротационный ЗЕЛЕНЫЙ лазерный уровень для вертикального и горизонтального применения, 18.0 В Li-Ion, без батареи и зарядного устройства, мишень-лучеуловитель, очки, лазерный детектор DE0772, пульт ДУ, кофр"
DE0730-XJ,Мишень-лучеуловитель для красных лазерных уровней
DE0735-XJ,Алюминиевый штатив телескопический для лазерных уровней
DE0736-XJ,Алюминиевый штатив для лазерных уровней
DE0737-XJ,Комбинированная линейка для лазерных уровней
DE0738-XJ,Градиент для лазерных уровней
DE0772-XJ,Водонепроницаемый цифровой лазерный детектор с зажимом для лазерных уровней
DE0730G-XJ,Мишень-лучеуловитель для зеленых лазерных уровней
DE0714G-XJ,Очки для зеленых лазеров
DE0892-XJ,Детектор красного лазерного луча
DE0892G-XJ,Детектор зеленого лазерного луча
