image,sku,websites,attribute_set,name,category_ids,type,visibility,tax_class_id,status,price,ean,gross_length,gross_width,gross_height,weight,meta_title,meta_description,st_korotko_o_tovare,st_preimushchestva,st_oblast_primeneniya,st_osobennosti,st_komplektaciya,st_shildik_tip_instrumenta
Картинки,SKU,Стор,Атрибут сет,Название,Категории,Тип товара,Видимость,Налоговый класс,Статус,Цена,EAN,"Длина, см","Ширина, см","Высота, см","Вес, кг",Тайтл,Дискрипшен,Коротко о товаре,Преимущества,Область применения,Особенности,Комплектация,Шильдик тип инструмента
1145154.jpg,D23700-KS,27,"DEWALT Пилы, Электролобзики, Циркулярные (распиловочные) станки, Радиально-консольные пилы, Ленточнопильные станки, Плиткорезы",Дисковая ручная пила 1750 Вт DEWALT D23700-KS,"894 , 896 , 959 , 907",simple,"Catalog, Search",None,Enabled,22237,5035048527436,52,38,37.5,11.19,Дисковая ручная пила 1750 Вт DEWALT D23700-KS DEWALT — купить в официальном магазине,"Купить дисковая ручная пила 1750 Вт DEWALT D23700-KS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>дисковая ручная пила</li><li>1750 Вт</li><li>4700 об./мин.</li><li>диск 235х30 мм</li><li>глубина пропила 86 мм</li><li>8.2 кг</li></ul>,,,,<ul><li>дисковая пила</li><li>прецизионный пильный диск с 24 зубьями</li><li>параллельный упор</li><li>ключ</li><li>упаковка</li></ul>,сетевой
,D23550,27,"DEWALT Пилы, Электролобзики, Циркулярные (распиловочные) станки, Радиально-консольные пилы, Ленточнопильные станки, Плиткорезы",Дисковая ручная пила DEWALT D23550,"894 , 896 , 959 , 907",simple,"Catalog, Search",None,Enabled,0,5035048149355,43,28,28.2,6.36,Дисковая ручная пила DEWALT D23550 DEWALT — купить в официальном магазине,"Купить дисковая ручная пила DEWALT D23550 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>пильный диск с твердосплавными напайками</li><li>параллельный упор</li><li>ключ</li></ul>,сетевой
1142572.jpg,DWE560B,27,"DEWALT Пилы, Электролобзики, Циркулярные (распиловочные) станки, Радиально-консольные пилы, Ленточнопильные станки, Плиткорезы",Дисковая ручная пила DEWALT DWE560B,"894 , 896 , 959 , 907",simple,"Catalog, Search",None,Enabled,0,5054905028053,31,25,22,5.5,Дисковая ручная пила DEWALT DWE560B DEWALT — купить в официальном магазине,"Купить дисковая ручная пила DEWALT DWE560B на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>пильный диск с 24 зубьями</li><li>параллельный упор</li><li>ключ</li><li>порт для подключения пылесоса</li><li>упаковка</li></ul>,сетевой
1127334.jpg,DCS355N-XJ,27,"DEWALT Шлифмашины, Многофункциональные инструменты (реноватор)",Многофункциональный инструмент 29 принадлежностей 18.0 В XR DEWALT DCS355N-XJ,"894 , 896 , 930 , 908 , 901",simple,"Catalog, Search",None,Enabled,9018,5035048440964,31,15.5,8,1.584,Многофункциональный инструмент 29 принадлежностей 18.0 В XR DEWALT DCS355N-XJ DEWALT — купить в официальном магазине,"Купить многофункциональный инструмент 29 принадлежностей 18.0 В XR DEWALT DCS355N-XJ на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>18.0 В XR многофункциональный инструмент</li><li>29 принадлежностей</li><li>без батарей и з/у</li></ul>,,,,<ul><li>бесщеточный многофункциональный инструмент</li><li>насадка-пилка для резки дерева</li><li>в том числе содержащего гвозди 31х43 мм</li><li>насадка-пилка для быстрой резки древесины 31х43 мм</li><li>подошва для шлифования</li><li>25 шлифовальных листов</li><li>универсальный адаптер насадок</li><li>упаковка</li></ul>,аккумуляторный
1102734.jpg,DWE315KT-QS,27,"DEWALT Шлифмашины, Многофункциональные инструменты (реноватор)",Многофункциональный инструмент 300 Вт DEWALT DWE315KT-QS,"894 , 896 , 908",simple,"Catalog, Search",None,Enabled,17593,5035048460771,33.1,44.1,16.1,4.396,Многофункциональный инструмент 300 Вт DEWALT DWE315KT-QS DEWALT — купить в официальном магазине,"Купить многофункциональный инструмент 300 Вт DEWALT DWE315KT-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>многофункциональный инструмент</li><li>300 Вт</li><li>0-22000 колебаний в минуту</li><li>замена насадок без использования инструмента</li><li>Li-Ion</li><li>37 насадок</li><li>кофр TSTAK</li><li>1.47 кг</li></ul>,<ul><li>быстрая бесключевая смена насадок</li><li>эргономичная прорезиненная рукоятка</li><li>регулировка частоты колебаний 0 - 22000 для оптимальной работы с различными материалами</li><li>амплитуда колебания 4 мм</li><li>подошва для шлифования в комплекте поставки</li><li>в комплект входит универсальный адаптер (для установки насадок от других производителей)</li><li>мощность 300 Вт.</li><li>поставляется в чемодане t-stak kitbox (комбинируется с другими чемоданами)</li><li>в комплекте 37 принадлежностей и аксессуаров</li><li>насадка для подключения к пылесосу</li><li>ограничитель глубины реза / направляющая для прямого реза</li></ul>,<ul><li>шлифование различных поверхностей</li><li>резка материалов (древесина пластик)</li></ul>,,<ul><li>насадка-пилка для резки дерева</li><li>в том числе содержащего гвозди</li><li>насадка-пилка для быстрой резки древесины</li><li>насадка-пилка для выполнения точных видов реза по древесине</li><li>насадка-пилка (полукруглая) для резки древесины</li><li>насадка (полукруглая) для удаления материала</li><li>насадка-скребок для удаления материала</li><li>подошва для шлифования</li><li>шлифовальные листы (25 шт</li><li>для работы с различными материалами)</li><li>универсальный адаптер (переходник)</li><li>шестигранник 5 мм</li><li>насадка для подключения к пылесосу</li><li>ограничитель глубины реза / направляющая для прямого реза</li><li>шестигранник 3 мм</li><li>чемодан t-stak</li></ul>,сетевой
1102739.jpg,DWE315-QS,27,"DEWALT Шлифмашины, Многофункциональные инструменты (реноватор)",Многофункциональный инструмент 300 Вт DEWALT DWE315-QS,"894 , 896 , 908",simple,"Catalog, Search",None,Enabled,10314,5035048442463,463,155,83,2.338,Многофункциональный инструмент 300 Вт DEWALT DWE315-QS DEWALT — купить в официальном магазине,"Купить многофункциональный инструмент 300 Вт DEWALT DWE315-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>многофункциональный инструмент</li><li>300 Вт</li><li>0-22000 колебаний в минуту</li><li>замена насадок без использования инструмента</li><li>Li-Ion</li><li>без аккумуляторов и зарядного устройства</li><li>29 насадок</li><li>кофр</li><li>1.06 кг</li></ul>,<ul><li>быстрая бесключевая смена насадок</li><li>эргономичная прорезиненая рукоятка</li><li>регулировка частоты колебаний 0 - 22000 для оптимальной работы с различными материалами</li><li>амплитуда колебания 4 мм</li><li>подошва для шлифования в комплекте поставки</li><li>в комплект входит универсальный адаптер (для установки насадок от других производителей)</li><li>мощность 300 Вт.</li></ul>,,,<ul><li>насадка-пилка для резки дерева</li><li>в том числе содержащего гвозди</li><li>насадка-скребок для удаления материала</li><li>насадка-подошва для шлифования</li><li>шлифовальные листы (25 шт</li><li>для работы с различными материалами)</li><li>универсальный адаптер (переходник)</li><li>шестигранный ключ 5 мм</li><li>упаковка</li></ul>,сетевой
1254769.jpg,D26500-QS,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Рубанок 1050 Вт DEWALT D26500-QS,"894 , 896 , 909",simple,"Catalog, Search",None,Enabled,16686,5035048129418,25,39,21.5,5.46,Рубанок 1050 Вт DEWALT D26500-QS DEWALT — купить в официальном магазине,"Купить рубанок 1050 Вт DEWALT D26500-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>рубанок</li><li>1050 Вт</li><li>глубина строгания 0-4 мм</li><li>13500 об/мин</li><li>нож 82 мм</li><li>4.0 кг</li></ul>,<ul><li>высокая мощность двигателя обеспечивает легкое строгание твердых пород дерева</li><li>лево- и правостороннее удаление стружки</li><li>передняя рукоятка - регулятор глубины строгания с шагом 0.1 мм</li><li>прорезиненные рукоятки исключают проскальзывание</li><li>высокая скорость вращения барабана увеличенного диаметра обеспечивает высокое качество обработки поверхности</li><li>3 канавки для снятия фасок</li></ul>,<ul><li>строгание древесины</li></ul>,,<ul><li>твёрдосплавные двусторонние ножи</li><li>параллельная направляющая</li><li>направляющая для выборки четверти</li><li>переходник для пылесоса</li><li>лево- и правосторонний эжектор опилок</li></ul>,сетевой
,D26501K,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Рубанок DEWALT D26501K,"894 , 896 , 909",simple,"Catalog, Search",None,Enabled,0,5035048129470,39,35,25.5,7.4,Рубанок DEWALT D26501K DEWALT — купить в официальном магазине,"Купить рубанок DEWALT D26501K на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>твёрдосплавные двусторонние ножи</li><li>параллельная направляющая</li><li>направляющая для выборки четверти</li><li>переходник для пылесоса</li><li>лево- и правосторонний эжектор опилок</li><li>дефлектор для сбора стружки</li><li>чемодан</li></ul>,сетевой
1251620.jpg,D26500K-QS,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Рубанок 1050 Вт DEWALT D26500K-QS,"894 , 896 , 909",simple,"Catalog, Search",None,Enabled,17593,5035048129432,39,35,25,7,Рубанок 1050 Вт DEWALT D26500K-QS DEWALT — купить в официальном магазине,"Купить рубанок 1050 Вт DEWALT D26500K-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>рубанок</li><li>1050 Вт</li><li>глубина строгания 0-4 мм</li><li>13500 об/мин</li><li>нож 82 мм</li><li>кофр</li><li>4.0 кг</li></ul>,<ul><li>высокая мощность двигателя обеспечивает легкое строгание твердых пород дерева</li><li>лево- и правостороннее удаление стружки</li><li>передняя рукоятка - регулятор глубины строгания с шагом 0.1 мм</li><li>прорезиненные рукоятки исключают проскальзывание</li><li>высокая скорость вращения барабана увеличенного диаметра обеспечивает высокое качество обработки поверхности</li><li>3 канавки для снятия фасок</li></ul>,<ul><li>строгание древесины</li></ul>,,<ul><li>твёрдосплавные двусторонние ножи</li><li>параллельная направляющая</li><li>направляющая для выборки четверти</li><li>переходник для пылесоса</li><li>лево- и правосторонний эжектор опилок</li><li>дефлектор и пылесборник</li><li>чемодан</li></ul>,сетевой
1250977.jpg,DW680-QS,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Рубанок 600 Вт DEWALT DW680-QS,"894 , 896 , 909",simple,"Catalog, Search",None,Enabled,11977,5011402291458,37,25,20,3.94,Рубанок 600 Вт DEWALT DW680-QS DEWALT — купить в официальном магазине,"Купить рубанок 600 Вт DEWALT DW680-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>рубанок</li><li>600 Вт</li><li>глубина строгания 0-2.5 мм</li><li>15000 об/мин</li><li>нож 82 мм</li><li>3.2 кг</li></ul>,,<ul><li>строгание древесины</li></ul>,,<ul><li>рубанок</li><li>твердосплавные двухсторонние ножи</li><li>параллельная направляющая</li><li>переходник для сбора стружки</li><li>упаковка</li></ul>,сетевой
1251583.jpg,D26411-QS,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Пистолет горячего воздуха 1800 Вт DEWALT D26411-QS,"894 , 896 , 912",simple,"Catalog, Search",None,Enabled,5713,5035048290071,28,28,8.7,1.45,Пистолет горячего воздуха 1800 Вт DEWALT D26411-QS DEWALT — купить в официальном магазине,"Купить пистолет горячего воздуха 1800 Вт DEWALT D26411-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>пистолет горячего воздуха</li><li>1800 Вт</li><li>2 скорости: температура 50-400/600 °C</li><li>воздушный поток 250/450 л/мин</li><li>2 насадки</li><li>0.8 кг</li></ul>,<ul><li>прочный фен для продолжительной работы</li><li>легкий и компактный дизайн для удобства пользователя</li><li>2 скорости потока воздуха для большинства операций</li><li>устойчивая конструкция для безопасного стационарного использования</li><li>две специальные насадки для работы в труднодоступных местах</li></ul>,<ul><li>зачистка старой краски</li><li>сушка окрашенных деталей</li><li>зачистка старой краски</li><li>размягчение клеевых поверхностей / удаления наклеек</li><li>пайка труб</li><li>литье и сварка пластмасс</li><li>для снятия лакокрасочных покрытий и аналогичных видов работ</li><li>запайка и зачистка кабелей фольги и труб</li><li>сварочные работы и розжиг угля для гриля и шашлыков</li><li>размораживание замерзших водопроводные трубы лыж и т.д.</li></ul>,,<ul><li>термопистолет</li><li>коническая насадка</li><li>насадка &quot;рыбий хвост&quot;</li><li>руководство по эксплуатации</li><li>чертеж инструмента в разобранном виде</li><li>упаковка</li></ul>,сетевой
830936.jpg,D26414-QS,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Пистолет горячего воздуха 2000 Вт DEWALT D26414-QS,"894 , 896 , 912",simple,"Catalog, Search",None,Enabled,7441,5035048290101,27.9,27.6,9,1.518,Пистолет горячего воздуха 2000 Вт DEWALT D26414-QS DEWALT — купить в официальном магазине,"Купить пистолет горячего воздуха 2000 Вт DEWALT D26414-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>пистолет горячего воздуха</li><li>2000 Вт</li><li>температура 50-600 °C</li><li>воздушный поток 650 л/мин</li><li>ЖК дисплей для контроля температуры</li><li>2 насадки</li><li>0.85 кг</li></ul>,<ul><li>прочный промышленный фен для профессионального применения</li><li>превосходный контроль и память настроек температуры для применения в одинаковых условиях</li><li>мощность нагревательного элемента 2000 Вт с эффективным охлаждением</li><li>компактный дизайн и малый вес для удобства использования вручную устойчивая конструкция со складными упорами для безопасного стационарного использования</li></ul>,<ul><li>зачистка старой краски</li><li>сушка окрашенных деталей</li><li>зачистка старой краски</li><li>размягчение клеевых поверхностей / удаления наклеек</li><li>пайка труб</li><li>литье и сварка пластмасс</li><li>для снятия лакокрасочных покрытий и аналогичных видов работ</li><li>запайка и зачистка кабелей фольги и труб</li><li>сварочные работы и розжиг угля для гриля и шашлыков</li><li>размораживание замерзших водопроводные трубы лыж и т.д.</li></ul>,,<ul><li>термопистолет</li><li>коническая насадка</li><li>насадка &quot;рыбий хвост&quot;</li><li>руководство по эксплуатации</li><li>чертеж инструмента в разобранном виде</li><li>упаковка</li></ul>,сетевой
1141724.jpg,D26200-QS,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Фрезер  DEWALT D26200-QS,"894 , 896 , 969 , 910",simple,"Catalog, Search",None,Enabled,18673,5035048262238,27,23,21.5,3.361,Фрезер  DEWALT D26200-QS DEWALT — купить в официальном магазине,"Купить фрезер  DEWALT D26200-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>фрезер</li><li>электронная регулировка скорости с обратной связью</li><li>900 Вт</li><li>16000-27000 об/мин</li><li>ход 55 мм</li><li>макс. Ø 36 мм</li><li>LED подсветка</li><li>цанга 8 мм</li><li>1.9кг</li></ul>,<ul><li>полноволновая электронная регулировка скорости с обратной связью обеспечивает поддержание установленных оборотов под нагрузкой и высокое качество обработки алюминия пластика и разных пород дерева</li><li>выбор оптимальной скорости в пределах от 16000 до 27000 об/мин обеспечивает точность работы при различных применениях</li><li>регулировка глубины и механизм фиксации обеспечивают точность работы</li><li>алюминиевый корпус электродвигателя и конструкция основания обеспечивают высокую долговечность</li><li>большая 100-миллиметровая d-образное основание позволяет пользователю полностью контролировать фрезер на рабочей поверхности</li><li>двойная светодиодная подсветка для лучшей видимости</li><li>совместимость со стандартными принадлежностями и аксессуарами</li><li>многопозиционный фиксатор блокировки шпинделя для быстрой и лёгкой смены принадлежностей</li><li>алюминиевый корпус может быть зафиксирован на специальной погружной платформе (приобретается дополнительно) увеличивая многосторонность применения инструмента</li></ul>,<ul><li>развальцовка</li></ul>,,<ul><li>параллельная направляющая</li><li>переходник для пылесоса</li><li>цанга - 8 мм</li><li>ключ - 17 мм</li><li>упаковка</li></ul>,сетевой
1254588.jpg,DWE6005-QS,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Окантовочный фрезер 590 Вт DEWALT DWE6005-QS,"894 , 896 , 969 , 910",simple,"Catalog, Search",None,Enabled,15759,5035048442449,22.3,21.2,14.9,2.496,Окантовочный фрезер 590 Вт DEWALT DWE6005-QS DEWALT — купить в официальном магазине,"Купить окантовочный фрезер 590 Вт DEWALT DWE6005-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>фрезер окантовочный</li><li>590 Вт</li><li>16000-34000 об/мин</li><li>ход 22 мм</li><li>макс. Ø 29 мм</li><li>LED подсветка</li><li>цанга 6 мм</li><li>1.5 кг</li></ul>,<ul><li>особенно удобен для гравирования снятия фасок и оформления профильных торцев</li><li>малый вес и тонкий корпус делают его идеальным для работы одной рукой</li><li>копирная система с 10 мм шариковыми подшипниками обеспечивает удобство и точность работы</li><li>блокировка шпинделя для быстрой и легкой смены фрез</li><li>электронная регулировка скорости 16000 - 34000 об/мин для работы по различным материалам</li><li>d-образная форма базы для удобства работы в углах и по криволинейным направляющим</li><li>кольцо регулировки глубины и зажимной механизм вместе дают точную глубину реза</li><li>светодиодная подсветка для лучшего контроля линии разметки</li><li>прозрачная база позволяет отлично видеть заготовку и линию реза</li></ul>,<ul><li>идеально подходит для малого радиуса</li><li>фаски и формирования кромок</li></ul>,,<ul><li>d-образная подошва</li><li>6 мм цанги</li><li>копир и упор</li><li>защитная накладка</li><li>kлюч 17 мм</li><li>переходник для пылесоса</li></ul>,сетевой
,D26203-QS,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Фрезер двуручный  DEWALT D26203-QS,"894 , 896 , 969 , 910",simple,"Catalog, Search",None,Enabled,23317,5035048262269,33.7,31,18.3,4.729,Фрезер двуручный  DEWALT D26203-QS DEWALT — купить в официальном магазине,"Купить фрезер двуручный  DEWALT D26203-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>фрезер двуручный</li><li>электронная регулировка скорости с обратной связью</li><li>900 Вт</li><li>16000-27000 об/мин</li><li>ход 55 мм</li><li>макс. Ø 36 мм</li><li>LED подсветка</li><li>цанга 8 мм</li><li>2.9кг</li></ul>,<ul><li>полноволновая электронная регулировка скорости с обратной связью обеспечивает поддержание установленных оборотов под нагрузкой и высокое качество обработки алюминия пластика и разных пород дерева</li><li>выбор оптимальной скорости в пределах от 16000 до 27000 об/мин обеспечивает точность работы при различных применениях</li><li>компактный лёгкий дизайн для удобства работы и комфорта пользователя</li><li>алюминиевый корпус может быть зафиксирован на специальной платформе (приобретается дополнительно) увеличивая многосторонность применения инструмента</li><li>основание с точной настройкой регулировки глубины фрезерования</li><li>пять фиксированных положений глубины погружения при фрезеровании</li><li>резиновые рукоятки позволяют лучше контролировать фрезер</li><li>двойная светодиодная подсветка для лучшей видимости</li><li>блокировка шпинделя для быстрой и легкой смены фрез</li></ul>,<ul><li>развальцовка</li></ul>,,<ul><li>фрезер</li><li>параллельная направляющая</li><li>переходник для пылесоса</li><li>цанга 8 мм</li><li>ключ 17 мм</li><li>центрирующий конус</li></ul>,сетевой
,DW670,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Окантовочный фрезер DEWALT DW670,"894 , 896 , 969 , 910",simple,"Catalog, Search",None,Enabled,0,5011402138654,35.8,18.3,12.6,2.64,Окантовочный фрезер DEWALT DW670 DEWALT — купить в официальном магазине,"Купить окантовочный фрезер DEWALT DW670 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>фрезер</li><li>квадратная подошва</li><li>цанги 8 мм</li><li>6 мм и 1/4&quot;</li><li>копир и упор</li><li>ключ 17/19</li><li>переходник для пылесоса</li><li>упаковка</li></ul>,сетевой
,DW609,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Окантовочный фрезер DEWALT DW609,"894 , 896 , 969 , 910",simple,"Catalog, Search",None,Enabled,0,5011402294299,31,26.5,26.5,4.28,Окантовочный фрезер DEWALT DW609 DEWALT — купить в официальном магазине,"Купить окантовочный фрезер DEWALT DW609 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>цанга 8 мм</li><li>направляющая</li><li>роликовый копир</li><li>ключи 13/17 мм и 11/13 мм</li></ul>,сетевой
,DW682K-QS,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Ламельный фрезер 600 Вт DEWALT DW682K-QS,"894 , 896 , 971 , 910",simple,"Catalog, Search",None,Enabled,19772,5011402279500,40,24,16.5,5.12,Ламельный фрезер 600 Вт DEWALT DW682K-QS DEWALT — купить в официальном магазине,"Купить ламельный фрезер 600 Вт DEWALT DW682K-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>ламельный фрезер</li><li>600 Вт</li><li>10000 об/мин</li><li>мешок для стружки</li><li>кофр</li><li>3.0 кг</li></ul>,<ul><li>реечный регулятор обеспечивает точное вертикальное положение и центровку направляющей</li><li>регулятор глубины на фиксированные значения 0 10 20 плюс дополнительная точная регулировка</li><li>регулировка глубины паза до 20 мм обеспечивает универсальность для различного применения</li><li>комбинированные регулировки высоты и угла наклона направляющей обеспечивают широкое применение фрезера и легкость в использовании</li><li>8 направляющих пазов</li><li>блокировка шпинделя для быстрой и легкой смены фрезы</li></ul>,<ul><li>фрезерование отверстий для установки ламелей</li></ul>,,<ul><li>твердосплавная фреза</li><li>мешок для стружки</li><li>спецключ</li><li>переходник для сбора стружки</li><li>чемодан</li></ul>,сетевой
810531.jpg,DW615-QS,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Фрезер двуручный  DEWALT DW615-QS,"894 , 896 , 970 , 910",simple,"Catalog, Search",None,Enabled,20617,5011402294176,33,17,28.5,4.2,Фрезер двуручный  DEWALT DW615-QS DEWALT — купить в официальном магазине,"Купить фрезер двуручный  DEWALT DW615-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>фрезер двуручный</li><li>электронная регулировка скорости с обратной связью</li><li>900 Вт</li><li>8000-24000 об/мин</li><li>ход 55 мм</li><li>макс. Ø 36 мм</li><li>цанга 8 мм</li><li>2.9кг</li></ul>,,,,<ul><li>параллельный упор</li><li>две направляющие штанги</li><li>направляющая гильза 17 мм</li><li>набор для пылеудаления</li><li>цанга 8 мм</li></ul>,сетевой
980974.jpg,DW625E-QS,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Фрезер двуручный  DEWALT DW625E-QS,"894 , 896 , 970 , 910",simple,"Catalog, Search",None,Enabled,26881,5011402279371,33,32.5,20,8.22,Фрезер двуручный  DEWALT DW625E-QS DEWALT — купить в официальном магазине,"Купить фрезер двуручный  DEWALT DW625E-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>фрезер двуручный</li><li>электронная регулировка скорости с обратной связью</li><li>2000 Вт</li><li>8000-20000 об/мин</li><li>ход 80 мм</li><li>макс. Ø 50 мм</li><li>цанга 12</li><li>7 мм</li><li>5.1кг</li></ul>,<ul><li>функция электронного управления скоростью позволяет работать с разными породами дерева пластиком и алюминием и стабилизировать скорость при разных нагрузках</li><li>функция плавного пуска исключает малейшие перемещения фрезера во время нА·чала работы</li><li>регулировка глубины фрезерования c тонкой подстройкой и удобной линейкой</li><li>двухстоечная система прецизионных направляющих с Втулками из фосфористой бронзы в высококачественном алюминиевом корпусе</li><li>большие удобные рукоятки со встроенными выключателем и фиксатором глубины фрезерования</li><li>3 фиксированных положения глубины фрезерования</li><li>блокировка шпинделя для быстрой и легкой смены фрез</li><li>система удаления опилок</li><li>компактный дизайн обеспечивает легкость в использовании</li></ul>,<ul><li>фигурное фрезерование древесины</li><li>фрезерование отверстий под замки и фурнитуру</li></ul>,,<ul><li>параллельная направляющая с точной регулировкой</li><li>переходник для пылесоса</li><li>направляющая гильза 30 мм</li><li>ключ 22 мм</li><li>цанга 12 мм</li></ul>,сетевой
973727.jpg,D26204K-QS,27,"DEWALT Фрезеры, Рубанки, Рейсмусно-фуговальные станки",Фрезер  DEWALT D26204K-QS,"894 , 896 , 970 , 910",simple,"Catalog, Search",None,Enabled,27421,5035048315781,48,42.5,16,7.58,Фрезер  DEWALT D26204K-QS DEWALT — купить в официальном магазине,"Купить фрезер  DEWALT D26204K-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>фрезер</li><li>электронная регулировка скорости с обратной связью</li><li>900 Вт</li><li>16000-27000 об/мин</li><li>ход 55 мм</li><li>макс. Ø 36 мм</li><li>LED подсветка</li><li>цанга 8 мм</li><li>дополнительная двуручная база</li><li>кофр</li><li>2.9кг</li></ul>,,<ul><li>фигурное фрезерование древесины</li><li>фрезерование отверстий под замки и фурнитуру</li></ul>,,<ul><li>2 параллельных упора</li><li>2 адаптера для пылесоса</li><li>цанга 8 мм</li><li>гаечный ключ 17 мм</li><li>направляющая гильза 17 мм</li><li>центрирующий конус</li><li>2 базы</li><li>кейс</li></ul>,сетевой
