image,sku,websites,attribute_set,name,category_ids,type,visibility,tax_class_id,status,price,ean,gross_length,gross_width,gross_height,weight,meta_title,meta_description,st_korotko_o_tovare,st_preimushchestva,st_oblast_primeneniya,st_osobennosti,st_komplektaciya,st_shildik_tip_instrumenta
Картинки,SKU,Стор,Атрибут сет,Название,Категории,Тип товара,Видимость,Налоговый класс,Статус,Цена,EAN,"Длина, см","Ширина, см","Высота, см","Вес, кг",Тайтл,Дискрипшен,Коротко о товаре,Преимущества,Область применения,Особенности,Комплектация,Шильдик тип инструмента
,DE9062,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор (1.3 А·ч, 9.6 В, Ni-Cd) DEWALT DE9062","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5011402150762,12,12,8.3,0.475,"Аккумулятор (1.3 А·ч, 9.6 В, Ni-Cd) DEWALT DE9062 DEWALT — купить в официальном магазине","Купить аккумулятор (1.3 А·ч, 9.6 В, Ni-Cd) DEWALT DE9062 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
,DCB143,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор (14.4 В, 2.0 А·ч, Li-Ion) DEWALT DCB143","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5035048439234,13.5,5.5,8.7,0.358,"Аккумулятор (14.4 В, 2.0 А·ч, Li-Ion) DEWALT DCB143 DEWALT — купить в официальном магазине","Купить аккумулятор (14.4 В, 2.0 А·ч, Li-Ion) DEWALT DCB143 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
,DE9360,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор (36.0 В, 2.0 А·ч, Li-ion) DEWALT DE9360","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5035048941119,9,9,15.5,0.924,"Аккумулятор (36 В, 2, А·ч, Li-ion) DEWALT DE9360 DEWALT — купить в официальном магазине","Купить аккумулятор (36 В, 2, А·ч, Li-ion) DEWALT DE9360 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
,DE9061,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор (9.6 В, 2 А·ч, Ni-Cd) DEWALT DE9061","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5011402142750,12,12,8.5,0.575,"Аккумулятор (2 А·ч, 9.6 В, Ni-Cd) DEWALT DE9061 DEWALT — купить в официальном магазине","Купить аккумулятор (2 А·ч, 9.6 В, Ni-Cd) DEWALT DE9061 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
,DE9094,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор (14.4 В, 1.3 А·ч, NiCd) DEWALT DE9094","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5011402290154,12,12,8.5,0.66,"Аккумулятор (14.4 В, 1.3 А·ч, NiCd) DEWALT DE9094 DEWALT — купить в официальном магазине","Купить аккумулятор (14.4 В, 1.3 А·ч, NiCd) DEWALT DE9094 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
1322180.jpg,DCB546,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор (54/18 В, 6.0 А·ч, Li-Ion) DEWALT DCB546","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5035048646298,8.6,9.9,13.6,1.15,"Аккумулятор (54/18 В, 6.0 А·ч, Li-Ion) DEWALT DCB546 DEWALT — купить в официальном магазине","Купить аккумулятор (54/18 В, 6.0 А·ч, Li-Ion) DEWALT DCB546 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
,DE9074,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор (12.0 В, 1.3 А·ч, NiCd) DEWALT DE9074","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5011402150779,12.5,12,8.5,0.58,"Аккумулятор (1.3 А·ч, 12.0 В, NiCd) DEWALT DE9074 DEWALT — купить в официальном магазине","Купить аккумулятор (1.3 А·ч, 12.0 В, NiCd) DEWALT DE9074 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
,DE9503,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор (18.0 В, 2.6 А·ч, NiMH) DEWALT DE9503","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5035048157787,15,9.5,12,1.124,"Аккумулятор (18 В, 2.6 А·ч, NiMH) DEWALT DE9503 DEWALT — купить в официальном магазине","Купить аккумулятор (18 В, 2.6 А·ч, NiMH) DEWALT DE9503 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
,DCB123,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор (10.8 В, 1.5 А·ч, Li-Ion) DEWALT DCB123","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5035048377895,10,9,6,0.25,"Аккумулятор (10,8 В, 1,5 А·ч, Li-Ion) DEWALT DCB123 DEWALT — купить в официальном магазине","Купить аккумулятор (10,8 В, 1,5 А·ч, Li-Ion) DEWALT DCB123 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
,DCB180,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор XR (18.0 В, 3.0 А·ч, Li-Ion) DEWALT DCB180","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5035048305294,13,8.5,7,0.2,"Аккумулятор XR (18 В, 3 А·ч, Li-Ion) DEWALT DCB180 DEWALT — купить в официальном магазине","Купить аккумулятор XR (18 В, 3 А·ч, Li-Ion) DEWALT DCB180 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
