sku,st_vykhodnaya_moshchnost,st_chislo_hodov_holostoy_hod,st_tip_patrona,st_maxdiam_sverleniya_derevo,st_derzhatel_nasadki,st_potreb_moshnost,st_max_krutyashchiy_moment,st_maxdiam_sverleniya_metal,st_rezba_spindelya,st_uroven_vibratsii_sverleniye,st_uroven_shuma,st_akusticheskaya_moshchnost,st_maxdiam_sverleniya_beton,st_maxdiam_sverleniya_kirpich,st_diametr_koltsa,st_uroven_vibratsii,st_dlina_stoyki,st_max_d_sverl_vodosborn,st_max_chastota_udarov,st_vibraciya_priudare,st_diametr_diska,st_posad_diametr,st_max_glubina_reza,st_maxsila_udara,st_max_d_sverl_pol_koron,st_chisl_oborot_pod_nagr,st_max_diam_sverl_prokh_bur,st_rabochiy_hod_frezi,st_razmer_cangi,st_maz_diam_frezi,st_chislo_oborotov,st_chastota_kolebaniy,st_razmer_shlifov_podosh,st_rashod_vozduha,st_max_skor_dvizh_lenty,st_razmer_lenty,st_maxglubina_chetverti,st_maxshirina_obrabotki,st_razmer_shlifov_podosh,st_diametr_barabana,st_chislo_oborotov,st_diametr_posad_otverstoya,st_ugol_naklona,st_regulirovka_stola,st_tip_accumulatora,st_napryazheniye_akkumulyatora,st_emkost_accumulatora,st_diametr,st_max_chastota_udarov,st_max_diametr_bolta,st_maxvrash_moment_zhestk,st_maxvrash_moment_myagk,st_max_chastota_udarov,st_chislo_khod_bez_nagr,st_velichina_hoda,st_tolshchina_propila,st_tolshchina_diska,st_ugol_zatochki,st_dlina_lezviya,st_rabochaya_dlina,st_shag_zuba,st_kolichestvo,st_tolshina_mm,st_max_glubina_reza,st_napravlenie_luchey,st_vidimost_lucha,st_max_glub_prop_derev,st_max_glub_prop_stal,st_max_glub_prop_plast,st_max_glub_prop_metall,st_max_glub_prop_cv_metall,st_uroven_vibratsii,st_max_vysota_reza,st_shirina_rezaniya_mm,st_skorost_rezaniya,st_razmer_rab_stola,st_dlina_polotna,st_vremya_ostanovki_polotna,st_obyem_baka,st_rashod_vozduha
DCD996P2-QW,820,2000,,55,,,,15,,,97,108,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,18,5,,,,95,66,38250,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCE089D1G-QW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCF610D2-QW,154,1050,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,"10,8",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCF815D2-QW,147,2450,,,,,107,,,,88,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,,2,,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCF880M2-QW,250,2300,,,,,203,,,,93,104,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,18,4,,2700,M16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCF899P2-QW,610,1900,,,,,950,,,,101,112,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,18,5,,2400,M20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCH273P2-QW,400,1100,SDS-Plus,26,,,,13,,,86,97,24,,,,,,4600,,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCH274P2-QW,400,1100,SDS-Plus,26,,,,13,,,86,97,24,,,,,,4600,,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCH275P2-QW,400,1100,SDS-Plus,26,,,,13,,,86,97,24,,,,,,4600,,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCL040-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Li-Ion,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCL510N-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS380M2-QW,560,,,,,,,,,,87,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,18,4,,,,,,,29500,,,,,,,,,,,,,,,,,,,,,,,,,,
DCS391M2-QW,460,3700,,,,,,,,,78,89,,,,"2,5",,,,,165,,,,,,,,,,,,,,,,,,,,,,50,,XR Li-Ion,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCT410D1-QW,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCT414D1-QW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCV5801H-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCV582-QW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XR Li-Ion,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0730-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0735-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0736-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0737-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0738-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0772-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE3242-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE3923-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE6289-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE6292-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE7902-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT10300-QZ,,,,,,,,,,,,,,,,,,,,,165,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,65",1,20,,,,,,,,,,,,,,,,,,,,,,
DT10301-QZ,,,,,,,,,,,,,,,,,,,,,165,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,65",1,20,,,,,,,,,,,,,,,,,,,,,,
DT10302-QZ,,,,,,,,,,,,,,,,,,,,,184,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,65",1,20,,,,,,,,,,,,,,,,,,,,,,
DT10303-QZ,,,,,,,,,,,,,,,,,,,,,184,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,65",1,20,,,,,,,,,,,,,,,,,,,,,,
DT10304-QZ,,,,,,,,,,,,,,,,,,,,,190,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,65",1,20,,,,,,,,,,,,,,,,,,,,,,
DT1090-QZ,,,,,,,,,,,,,,,,,,,,,165,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"1,6",5,,,,,,,,,,,,,,,,,,,,,,
DT2050-QZ,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,48,2,5,,,,,,,,,,,,,,,,,,
DT2051-QZ,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,100,4,5,,,,,,,,,,,,,,,,,,
DT2052-QZ,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,87,3,5,,,,,,,,,,,,,,,,,,
DT2053-QZ,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,73,"2,5",5,,,,,,,,,,,,,,,,,,
DT2054-QZ,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,"1,5",5,,,,,,,,,,,,,,,,,,
DT2057-QZ,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,91,3,,,,,,,,,,,,,,,,,,,
DT2058-QZ,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,74,"2,6",5,,,,,,,,,,,,,,,,,,
DT2059-QZ,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,101,5,5,,,,,,,,,,,,,,,,,,
DT2074-QZ,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,74,"2,3",1,,,,,,,,,,,,,,,,,,
DT2075-QZ,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,68,4,5,,,,,,,,,,,,,,,,,,
DT2076-QZ,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,116,4,5,,,,,,,,,,,,,,,,,,
DT2077-QZ,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,4,5,,,,,,,,,,,,,,,,,,
DT2080-QZ,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,59,"1,7",5,,,,,,,,,,,,,,,,,,
DT2081-QZ,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,59,"1,4",3,,,,,,,,,,,,,,,,,,
DT2084-QZ,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,148,2,5,,,,,,,,,,,,,,,,,,
DT2085-QZ,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,108,"1,2",5,,,,,,,,,,,,,,,,,,
DT2150-QZ,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,61,1,3,,,,,,,,,,,,,,,,,,
DT2154-QZ,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,51,"1,8",3,,,,,,,,,,,,,,,,,,
DT2156-QZ,,,,,,,,,,,,,,,,,,,,,,,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,51,"0,8",3,,,,,,,,,,,,,,,,,,
DT2160-QZ,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,50,"1,2",5,,,,,,,,,,,,,,,,,,
DT2161-QZ,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,50,2,5,,,,,,,,,,,,,,,,,,
DT2162-QZ,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,50,"0,7",5,,,,,,,,,,,,,,,,,,
DT2164-QZ,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,68,4,5,,,,,,,,,,,,,,,,,,
DT2165-QZ,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,73,"2,5",5,,,,,,,,,,,,,,,,,,
DT2166-QZ,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,68,4,5,,,,,,,,,,,,,,,,,,
DT2205-QZ,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,"2,5",5,,,,,,,,,,,,,,,,,,
DT2207-QZ,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,"2,5",5,,,,,,,,,,,,,,,,,,
DT2209-QZ,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,"4,2",5,,,,,,,,,,,,,,,,,,
DT2211-QZ,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,"3,1",5,,,,,,,,,,,,,,,,,,
DT2213-QZ,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,"4,2",5,,,,,,,,,,,,,,,,,,
DT2216-QZ,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,50,2,5,,,,,,,,,,,,,,,,,,
DT2217-QZ,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,"2,5",3,,,,,,,,,,,,,,,,,,
DT2218-QZ,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,"4,2",3,,,,,,,,,,,,,,,,,,
DT2219-QZ,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,"2,5",3,,,,,,,,,,,,,,,,,,
DT2220-QZ,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,"4,2",3,,,,,,,,,,,,,,,,,,
DT2221-QZ,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,3,3,,,,,,,,,,,,,,,,,,
DT2344-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,1",5,,,,,,,,,,,,,,,,,,
DT2345-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,5",5,,,,,,,,,,,,,,,,,,
DT2349-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,1",5,,,,,,,,,,,,,,,,,,
DT2350-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,1",5,,,,,,,,,,,,,,,,,,
DT2353-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,8",5,,,,,,,,,,,,,,,,,,
DT2354-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,4",5,,,,,,,,,,,,,,,,,,
DT2355-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,5",5,,,,,,,,,,,,,,,,,,
DT2359-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,1",5,,,,,,,,,,,,,,,,,,
DT2361-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,8",5,,,,,,,,,,,,,,,,,,
DT2363-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,2",5,,,,,,,,,,,,,,,,,,
DT2385-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,1",5,,,,,,,,,,,,,,,,,,
DT2387-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,5",5,,,,,,,,,,,,,,,,,,
DT2420-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,7",1,,,,,,,,,,,,,,,,,,
DT2421-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,7",1,,,,,,,,,,,,,,,,,,
DT2422-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,7",1,,,,,,,,,,,,,,,,,,
DT2432-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,5",5,,,,,,,,,,,,,,,,,,
DT3733-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT3734-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT3905-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT3906-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT4031-QZ,,,,,,,,,,,,,,,,,,,,,184,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,6","1,7",25,,,,,,,,,,,,,,,,,,,,,,
DT4033-QZ,,,,,,,,,,,,,,,,,,,,,190,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,6","1,7",10,,,,,,,,,,,,,,,,,,,,,,
DT4064-QZ,,,,,,,,,,,,,,,,,,,,,190,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,6","1,7",10,,,,,,,,,,,,,,,,,,,,,,
DT4094-QZ,,,,,,,,,,,,,,,,,,,,,190,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,6","1,7",-5,,,,,,,,,,,,,,,,,,,,,,
DT4202-QZ,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,8",10,,,,,"2,8",,,,,,,,,,,,,,,,,
DT4370-QZ,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,8",-5,,,,,"2,6",,,,,,,,,,,,,,,,,
DT6037-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT6038-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT6039-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT6040-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT6041-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT6042-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT6043-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT6515-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,83,,1,,,,,,,,,,,,,,,,,,
DT6517-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,73,,1,,,,,,,,,,,,,,,,,,
DT6518-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,83,,1,,,,,,,,,,,,,,,,,,
DT6519-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,93,,1,,,,,,,,,,,,,,,,,,
DT6522-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,104,,1,,,,,,,,,,,,,,,,,,
DT6524-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,104,,1,,,,,,,,,,,,,,,,,,
DT7926-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,
DT8472-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,2",1,"0,4",150,,,,,,,,,,,,,,,,
DT8473-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,4",1,"0,6",150,,,,,,,,,,,,,,,,
DT8474-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,4",1,"0,6",200,,,,,,,,,,,,,,,,
DT8475-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,4",1,"0,6",10,,,,,,,,,,,,,,,,
DT8476-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,8",1,"0,6",10,,,,,,,,,,,,,,,,
DT8481-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,2",1,"0,6",,,,,,,,,,,,,,,,,
DT8483-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,2",1,"0,6",,,,,,,,,,,,,,,,,
DT8486-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,2",1,"0,6",,,,,,,,,,,,,,,,,
DT9502-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,50,,1,,,,,,,,,,,,,,,,,,
DT9504-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,50,,1,,,,,,,,,,,,,,,,,,
DT9505-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,100,,1,,,,,,,,,,,,,,,,,,
DT9506-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,150,,1,,,,,,,,,,,,,,,,,,
DT9514-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,50,,1,,,,,,,,,,,,,,,,,,
DT9515-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,100,,1,,,,,,,,,,,,,,,,,,
DT9516-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,150,,1,,,,,,,,,,,,,,,,,,
DT9517-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,200,,1,,,,,,,,,,,,,,,,,,
DT9518-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9520-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,5",,,,,,,,,,,,100,,1,,,,,,,,,,,,,,,,,,
DT9528-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,50,,1,,,,,,,,,,,,,,,,,,
DT9529-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,100,,1,,,,,,,,,,,,,,,,,,
DT9530-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,150,,1,,,,,,,,,,,,,,,,,,
DT9531-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,200,,1,,,,,,,,,,,,,,,,,,
DT9532-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,250,,1,,,,,,,,,,,,,,,,,,
DT9533-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,350,,1,,,,,,,,,,,,,,,,,,
DT9534-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,400,,1,,,,,,,,,,,,,,,,,,
DT9535-QZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,540,,1,,,,,,,,,,,,,,,,,,
