sku,st_korotko_o_tovare,st_preimushchestva,st_oblast_primeneniya,st_osobennosti
D21441-QS,"безударная дрель, 770 Вт, 2 скорости, регулятор оборотов 40/20 Нм, 0-1100/2700 об./мин., БЗП патрон 13 мм, 2.2 кг","Идеальный инструмент для работы в тяжелых металлических конструкциях
Двухскоростной редуктор для увеличения крутящего момента
Улучшенные характеристики сверления благодаря новому двигателю
Новая запатентованная предохранительная шариковая муфта
Улучшенная эргономика, обеспечиваемая новым полимерным корпусом редуктора
Новая конструкция переключения передач редуктора для увеличения срока службы
Новая запатентованная усиленная опора якоря












","Идеальный инструмент для работы в тяжелых металлических конструкциях


















",
DWD115KS-QS,"безударная дрель, 701 Вт, 10.9 Нм, регулятор оборотов 0-2500 об./мин., БЗП патрон 10 мм, кофр, 1.8 кг","Прорезиненная рукоятка для максимального удобства в использовании
Идеальна для сверления оверстий в дереве и металле
Полностью металлический 10 мм. безключевой патрон для быстрой и лёгкой смены принадлежностей
Размер, балансировка и вес идеальны для использования одной рукой
Электронная регулировка скорости для удобства работы в различных материалах
Возможность крепления на ремне с помощью специальной скобы
Превосходное соотношение мощности, размера и веса












","Сверление металлов
Небольшие отверстия для клепок

















",
DWD014S-QS,"безударная дрель, 550 Вт, 7.9 Нм, регулятор оборотов 0-2800 об./мин., БЗП патрон 10 мм, 1.34 кг","Полностью металлический быстрозажимной патрон с храповиком
Компактная конструкция обеспечивает удобство работы одной рукой и позволяет использовать инструмент в ограниченных пространствах
Низкий вес обеспечивает легкость в использовании и снижает усталость пользователя
Переключатель Speed Dial обеспечивает постоянный контроль скорости с учетом различных размеров отверстий в различных материалах
Плавная электронная регулировка скорости позволяет пользователю достичь прецизионной точности при сверлении в различных материалах
Отличное сочетание мощность/вес при небольших размерах
Фиксатор включенного состояния дает пользователю возможность держать инструмент постоянно работающим при выполнении повторяющихся операций












","Сверление металлов
Небольшие отверстия для клепок
Сверление в пластике и пластмассах
















",
DW246-QS,"безударная дрель, 701 Вт, 35.8 Нм, регулятор оборотов 0-850 об./мин., БЗП патрон 13 мм с блокировкой шпинделя, набор из 6 кобальтовых сверл, 1.6 кг","Используется при изготовлении стальных деталей, в кораблестроении, нефтехимической промышленности
Электродвигатель с высокой перегрузочной способностью
Высококачественный 13 мм быстрозажимной патрон с блокировкой шпинделя для быстрой смены принадлежностей одной рукой
Высокий крутящий момент для использования в качестве легкого миксера
Прочный металлический корпус редуктора
Характерные для инструмента DEWALT мягкие накладки на рукоятке и выключателе для большего удобства
Усиленное крепление сетевого кабеля












","Используется при изготовлении стальных деталей, в кораблестроении, нефтехимической промышленности",
DWD112S-KS,"безударная дрель, 701 Вт, 10.9 Нм, регулятор оборотов 0-2500 об./мин., БЗП патрон 10 мм, 1.8 кг","Прорезиненная рукоятка для максимального удобства в использовании
Идеальна для сверления оверстий в дереве и металле
Полностью металлический 10 мм. безключевой патрон для быстрой и лёгкой смены принадлежностей
Размер, балансировка и вес идеальны для использования одной рукой
Электронная регулировка скорости для удобства работы в различных материалах
Возможность крепления на ремне с помощью специальной скобы
Превосходное соотношение мощности, размера и веса












","Сверление металлов
Небольшие отверстия для клепок

















",
DW221-QS,"безударная дрель, 701 Вт, 13.8 Нм, регулятор оборотов 0-4000 об./мин., БЗП патрон 10 мм с блокировкой шпинделя, 1.3 кг","Обычно используются для работ по дереву, алюминию, конструкциям из легких сплавов
Электродвигатель с высокой перегрузочной способностью
Высококачественный 10 мм быстрозажимной патрон c блокировкой шпинделя для быстрой смены принадлежностей одной рукой
Прочный металлический корпус редуктора
Характерные для инструмента DEWALT мягкие накладки на рукоятке и выключателе для большего удобства
Усиленное крепление сетевого кабеля













","Используются для работ по дереву, алюминию, конструкциям из легких сплавов

















",
DW236I-QS,"безударная дрель, 701 Вт, 35.8 Нм, регулятор оборотов 0-850 об./мин., БЗП патрон 13 мм с блокировкой шпинделя, набор из 6 кобальтовых сверл, 1.6 кг","Наивысшая производительность при сверлении больших отверстий в нержавеющей стали и чугуне благодаря низкой скорости вращения
Электродвигатель с высокой перегрузочной способностью
Высококачественный 13 мм быстрозажимной патрон с блокировкой шпинделя для быстрой смены принадлежностей одной рукой
Прочный металлический корпус редуктора
Характерные для инструмента DEWALT мягкие накладки на рукоятке и выключателе для большего удобства
Усиленное крепление сетевого кабеля
Примененяется при сверлении металлических конструкций (в том числе из нержавеющей стали), установке отопительных систем и вентиляционных каналов












","Работы по сверлению в металлах и сплавах
Установка труб
Строительство металлических заборов
















",
DW217-QS,"безударная дрель, 675 Вт, 8.2 Нм, регулятор оборотов 0-4000 об./мин., БЗП патрон 10 мм, 1.2 кг","Идеальна для получения оптимальных результатов сверления с высокой скоростью сверлами небольшого диаметра в тонком металле, алюминии или твердых породах дерева
Электродвигатель с высокой перегрузочной способностью
10 мм быстрозажимной патрон для быстрой и легкой смены сверл
Прочный металлический корпус редуктора
Характерные для инструмента DEWALT мягкие накладки на рукоятке и выключателе для большего удобства
Идеально сбалансирована и имеет небольшой вес
Усиленное крепление сетевого кабеля












","Идеальна для получения оптимальных результатов сверления с высокой скоростью сверлами небольшого диаметра в тонком металле, алюминии или твердых породах дерева",
D21520-QS,"дрель-миксер, 710 Вт, 50 Нм, регулятор оборотов 0-550 об./мин., ключевой патрон 13 мм, 3.4 кг","Регулировка скорости и реверс для широкого применения
550 об/мин создают высокий крутящий момент и обеспечивают уверенное сверление и смешивание
Прочный корпус и металлический редуктор увеличивают надежность и долговечность
Дополнительные 2-х позиционная задняя и 3-х позиционная боковая рукоятки обеспечивают дополнительный комфорт при работе















","Отлично подходит для различных применений смешивания, т.е. гипсокартон соединения, минометы и красок с перемешиванием весло до 160мм
Сверление отверстий в древесине до 40 мм
Сверления в древесине до 65 мм
Сверления в древесине диаметром до 40 мм
Сверление коронкой в дереве диаметорм до127 мм
Cверлениt в стали до 13 мм
Сверление коронкой в стали диаметорм до 76 мм












",
DW152,,,,
